Tombo;local_num;Localidade;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
53065;;MonteAlegre;9;15;12;8;8;16;242;NA;NA;43;11;5;NA;20;6;12;NA;21;16;NA;NA;0;1;0;2;0;0;0;NA
37093;;Parana;10;13;12;10;10;15;280;6;5;42;7;3;14;20;8;11;93;21;16;11;11;0;1;0;0;0;0;1;0
37090;;Parana;9;15;11;10;9;16;NA;NA;NA;45;5;2;16;21;7;12;92;21;15;9;NA;0;1;1;2;1;0;1;0
33548;;Parana;7;15;10;10;9;16;265;7;4;41;10;3;14;21;7;11;85;20;15;8;NA;0;1;1;0;0;0;0;0
33581;;Parana;7;16;10;12;9;14;284;NA;NA;43;10;2;14;21;5;12;86;20;15;NA;NA;1;1;0;2;0;0;1;NA
33542;;Parana;7;15;9;10;8;14;267;NA;6;42;9;3;14;21;6;11;85;20;15;7;NA;0;1;0;0;1;0;1;0
33549;;Parana;7;15;10;10;10;16;276;NA;NA;45;10;2;14;19;5;12;83;18;15;NA;NA;0;1;0;2;1;0;2;NA
37116;;Parana;8;15;10;10;9;15;257;9;6;42;9;2;14;21;7;13;87;NA;16;7;NA;0;2;1;2;0;0;1;0
37123;;Parana;7;16;10;10;10;14;NA;9;5;NA;11;4;14;22;8;13;77;19;15;7;NA;0;1;1;2;1;0;0;0
37128;;Parana;9;15;10;10;8;15;NA;NA;4;NA;NA;3;NA;NA;6;12;NA;19;16;7;NA;0;1;1;0;0;0;1;0
33540;;Parana;8;15;10;10;9;15;264;NA;4;43;10;2;14;22;6;13;82;21;15;11;NA;0;1;1;2;1;0;1;0
37088;;Parana;7;13;9;10;8;14;227;NA;6;41;5;2;14;19;7;12;80;21;14;6;NA;0;1;0;2;0;0;1;0
33570;;Parana;8;14;11;10;10;15;245;NA;NA;39;9;2;14;21;5;11;84;20;15;NA;NA;0;1;0;2;0;0;1;NA
33553;;Parana;7;14;10;10;10;16;247;NA;4;42;6;2;14;21;6;12;82;19;15;8;NA;0;1;0;2;1;0;1;NA
33544;;Parana;8;14;9;10;10;14;262;NA;3;44;7;2;14;21;8;12;87;NA;14;7;NA;0;1;1;0;1;0;1;NA
33561;;Parana;7;14;11;10;8;14;235;NA;5;41;6;2;14;20;7;14;84;20;16;7;NA;0;1;0;2;0;0;1;0
33569;;Parana;7;14;11;10;9;14;NA;NA;NA;NA;NA;2;14;21;7;12;82;19;15;NA;NA;0;1;1;2;1;0;1;0
33537;;Parana;9;16;11;10;9;14;255;NA;NA;43;10;2;14;21;5;13;82;20;15;NA;NA;0;1;1;0;0;0;1;NA
33539;;Parana;8;14;9;10;8;14;232;NA;NA;44;7;2;15;19;7;12;84;20;15;8;NA;0;1;0;0;0;0;1;0
37126;;Parana;8;15;12;10;10;15;255;5;4;41;10;2;14;19;8;13;93;21;15;11;NA;0;1;1;0;0;0;0;0
33541;;Parana;8;16;10;10;10;16;254;NA;NA;42;11;4;14;20;8;12;77;19;14;6;NA;0;1;1;0;0;0;1;NA
37125;;Parana;8;13;10;10;10;14;252;NA;5;43;10;3;14;20;6;12;NA;20;12;10;NA;0;1;1;0;0;0;1;0
33545;;Parana;8;14;11;10;8;14;242;NA;4;45;8;2;14;19;7;13;79;21;16;8;NA;0;1;1;2;0;0;2;0
33550;;Parana;9;17;12;12;8;16;282;5;5;44;12;3;14;21;7;12;83;20;16;8;NA;0;1;1;2;0;0;1;0
33558;;Parana;8;15;9;10;10;13;NA;NA;NA;NA;NA;2;14;20;4;12;NA;21;14;7;NA;0;1;1;2;0;0;1;0
33536;;Parana;8;15;10;10;8;12;247;NA;NA;41;12;3;14;21;7;11;67;19;13;NA;NA;0;1;0;0;0;0;1;NA
37115;;Parana;9;15;11;9;8;15;278;NA;NA;42;9;2;14;20;8;13;79;21;16;6;NA;0;1;1;0;0;0;0;NA
37111;;Parana;8;15;12;10;10;17;257;7;4;43;11;3;14;22;6;13;84;20;15;8;14;0;1;1;2;0;0;0;0
37132;;Parana;8;15;11;10;8;14;240;NA;NA;41;7;4;15;19;7;12;86;21;15;NA;NA;0;1;1;0;0;0;0;NA
37098;;Parana;8;14;10;8;8;13;238;NA;NA;41;8;4;14;21;6;11;80;20;15;NA;NA;0;1;1;0;1;0;1;NA
33551;;Parana;8;15;9;10;8;15;257;NA;NA;44;12;2;14;21;7;11;81;23;15;NA;NA;0;1;0;2;0;0;1;NA
37118;;Parana;7;14;10;10;9;15;275;7;5;46;9;3;14;21;7;12;82;19;15;6;NA;0;1;1;2;0;0;1;0
37089;;Parana;8;13;14;10;8;16;258;5;4;40;9;4;14;20;7;11;76;19;14;7;NA;0;1;0;2;0;0;0;0
33563;;Parana;8;16;10;10;8;14;260;10;3;43;9;3;14;21;5;11;73;17;14;7;NA;0;1;0;2;0;0;1;0
37086;;Parana;7;15;11;9;8;15;272;NA;NA;41;8;3;14;NA;8;13;NA;18;16;NA;NA;0;1;1;0;0;0;0;NA
